coefs =  19 , Nfilters =  20 , Ngauss =  7 , percent =  mié may 6 17:57:12 CEST 2020: classerr --- nerr=29 ntot=785 error_rate=3.69% mié may 6 17:57:12 CEST 2020: 2019 --- undefined command 2019
coefs =  20 , Nfilters =  20 , Ngauss =  7 , percent =  mié may 6 17:58:47 CEST 2020: classerr --- nerr=34 ntot=785 error_rate=4.33% mié may 6 17:58:47 CEST 2020: 2020 --- undefined command 2020
coefs =  21 , Nfilters =  20 , Ngauss =  7 , percent =  mié may 6 18:00:30 CEST 2020: classerr --- nerr=49 ntot=785 error_rate=6.24% mié may 6 18:00:30 CEST 2020: 2021 --- undefined command 2021
coefs =  22 , Nfilters =  20 , Ngauss =  7 , percent =  mié may 6 18:02:28 CEST 2020: classerr --- nerr=82 ntot=785 error_rate=10.45% mié may 6 18:02:28 CEST 2020: 2022 --- undefined command 2022
coefs =  23 , Nfilters =  20 , Ngauss =  7 , percent =  mié may 6 18:04:34 CEST 2020: classerr --- nerr=148 ntot=785 error_rate=18.85% mié may 6 18:04:34 CEST 2020: 2023 --- undefined command 2023
coefs =  24 , Nfilters =  20 , Ngauss =  7 , percent =  mié may 6 18:06:50 CEST 2020: classerr --- nerr=217 ntot=785 error_rate=27.64% mié may 6 18:06:50 CEST 2020: 2024 --- undefined command 2024
coefs =  25 , Nfilters =  20 , Ngauss =  7 , percent =  mié may 6 18:09:21 CEST 2020: classerr --- nerr=236 ntot=785 error_rate=30.06% mié may 6 18:09:21 CEST 2020: 2025 --- undefined command 2025
coefs =  14 , Nfilters =  20 , Ngauss =  8 , percent =  mié may 6 18:10:44 CEST 2020: classerr --- nerr=23 ntot=785 error_rate=2.93% mié may 6 18:10:44 CEST 2020: 2014 --- undefined command 2014
coefs =  15 , Nfilters =  20 , Ngauss =  8 , percent =  mié may 6 18:12:17 CEST 2020: classerr --- nerr=22 ntot=785 error_rate=2.80% mié may 6 18:12:17 CEST 2020: 2015 --- undefined command 2015
coefs =  16 , Nfilters =  20 , Ngauss =  8 , percent =  mié may 6 18:13:50 CEST 2020: classerr --- nerr=22 ntot=785 error_rate=2.80% mié may 6 18:13:50 CEST 2020: 2016 --- undefined command 2016
coefs =  17 , Nfilters =  20 , Ngauss =  8 , percent =  mié may 6 18:15:22 CEST 2020: classerr --- nerr=15 ntot=785 error_rate=1.91% mié may 6 18:15:22 CEST 2020: 2017 --- undefined command 2017
coefs =  18 , Nfilters =  20 , Ngauss =  8 , percent =  mié may 6 18:16:59 CEST 2020: classerr --- nerr=25 ntot=785 error_rate=3.18% mié may 6 18:16:59 CEST 2020: 2018 --- undefined command 2018
coefs =  19 , Nfilters =  20 , Ngauss =  8 , percent =  mié may 6 18:18:42 CEST 2020: classerr --- nerr=24 ntot=785 error_rate=3.06% mié may 6 18:18:42 CEST 2020: 2019 --- undefined command 2019
coefs =  20 , Nfilters =  20 , Ngauss =  8 , percent =  mié may 6 18:20:33 CEST 2020: classerr --- nerr=30 ntot=785 error_rate=3.82% mié may 6 18:20:33 CEST 2020: 2020 --- undefined command 2020
coefs =  21 , Nfilters =  20 , Ngauss =  8 , percent =  mié may 6 18:22:34 CEST 2020: classerr --- nerr=35 ntot=785 error_rate=4.46% mié may 6 18:22:34 CEST 2020: 2021 --- undefined command 2021
coefs =  22 , Nfilters =  20 , Ngauss =  8 , percent =  mié may 6 18:24:47 CEST 2020: classerr --- nerr=82 ntot=785 error_rate=10.45% mié may 6 18:24:47 CEST 2020: 2022 --- undefined command 2022
coefs =  23 , Nfilters =  20 , Ngauss =  8 , percent =  mié may 6 18:27:11 CEST 2020: classerr --- nerr=136 ntot=785 error_rate=17.32% mié may 6 18:27:11 CEST 2020: 2023 --- undefined command 2023
coefs =  24 , Nfilters =  20 , Ngauss =  8 , percent =  mié may 6 18:29:49 CEST 2020: classerr --- nerr=178 ntot=785 error_rate=22.68% mié may 6 18:29:49 CEST 2020: 2024 --- undefined command 2024
coefs =  25 , Nfilters =  20 , Ngauss =  8 , percent =  mié may 6 18:32:38 CEST 2020: classerr --- nerr=233 ntot=785 error_rate=29.68% mié may 6 18:32:38 CEST 2020: 2025 --- undefined command 2025
coefs =  14 , Nfilters =  20 , Ngauss =  9 , percent =  mié may 6 18:34:11 CEST 2020: classerr --- nerr=18 ntot=785 error_rate=2.29% mié may 6 18:34:11 CEST 2020: 2014 --- undefined command 2014
coefs =  15 , Nfilters =  20 , Ngauss =  9 , percent =  mié may 6 18:35:49 CEST 2020: classerr --- nerr=22 ntot=785 error_rate=2.80% mié may 6 18:35:49 CEST 2020: 2015 --- undefined command 2015
coefs =  16 , Nfilters =  20 , Ngauss =  9 , percent =  mié may 6 18:37:33 CEST 2020: classerr --- nerr=16 ntot=785 error_rate=2.04% mié may 6 18:37:33 CEST 2020: 2016 --- undefined command 2016
coefs =  17 , Nfilters =  20 , Ngauss =  9 , percent =  mié may 6 18:39:18 CEST 2020: classerr --- nerr=16 ntot=785 error_rate=2.04% mié may 6 18:39:18 CEST 2020: 2017 --- undefined command 2017
coefs =  18 , Nfilters =  20 , Ngauss =  9 , percent =  mié may 6 18:41:07 CEST 2020: classerr --- nerr=26 ntot=785 error_rate=3.31% mié may 6 18:41:07 CEST 2020: 2018 --- undefined command 2018
coefs =  19 , Nfilters =  20 , Ngauss =  9 , percent =  mié may 6 18:43:03 CEST 2020: classerr --- nerr=16 ntot=785 error_rate=2.04% mié may 6 18:43:03 CEST 2020: 2019 --- undefined command 2019
coefs =  20 , Nfilters =  20 , Ngauss =  9 , percent =  mié may 6 18:45:12 CEST 2020: classerr --- nerr=22 ntot=785 error_rate=2.80% mié may 6 18:45:12 CEST 2020: 2020 --- undefined command 2020
coefs =  21 , Nfilters =  20 , Ngauss =  9 , percent =  mié may 6 18:47:33 CEST 2020: classerr --- nerr=33 ntot=785 error_rate=4.20% mié may 6 18:47:33 CEST 2020: 2021 --- undefined command 2021
coefs =  22 , Nfilters =  20 , Ngauss =  9 , percent =  mié may 6 18:50:06 CEST 2020: classerr --- nerr=65 ntot=785 error_rate=8.28% mié may 6 18:50:06 CEST 2020: 2022 --- undefined command 2022
coefs =  23 , Nfilters =  20 , Ngauss =  9 , percent =  mié may 6 18:52:54 CEST 2020: classerr --- nerr=148 ntot=785 error_rate=18.85% mié may 6 18:52:54 CEST 2020: 2023 --- undefined command 2023
coefs =  24 , Nfilters =  20 , Ngauss =  9 , percent =  mié may 6 18:55:54 CEST 2020: classerr --- nerr=184 ntot=785 error_rate=23.44% mié may 6 18:55:54 CEST 2020: 2024 --- undefined command 2024
coefs =  25 , Nfilters =  20 , Ngauss =  9 , percent =  mié may 6 18:59:04 CEST 2020: classerr --- nerr=254 ntot=785 error_rate=32.36% mié may 6 18:59:04 CEST 2020: 2025 --- undefined command 2025
coefs =  14 , Nfilters =  20 , Ngauss =  10 , percent =  mié may 6 19:00:46 CEST 2020: classerr --- nerr=17 ntot=785 error_rate=2.17% mié may 6 19:00:46 CEST 2020: 2014 --- undefined command 2014
coefs =  15 , Nfilters =  20 , Ngauss =  10 , percent =  mié may 6 19:02:35 CEST 2020: classerr --- nerr=22 ntot=785 error_rate=2.80% mié may 6 19:02:35 CEST 2020: 2015 --- undefined command 2015
coefs =  16 , Nfilters =  20 , Ngauss =  10 , percent =  mié may 6 19:04:30 CEST 2020: classerr --- nerr=16 ntot=785 error_rate=2.04% mié may 6 19:04:30 CEST 2020: 2016 --- undefined command 2016
coefs =  17 , Nfilters =  20 , Ngauss =  10 , percent =  mié may 6 19:06:28 CEST 2020: classerr --- nerr=16 ntot=785 error_rate=2.04% mié may 6 19:06:28 CEST 2020: 2017 --- undefined command 2017
coefs =  18 , Nfilters =  20 , Ngauss =  10 , percent =  mié may 6 19:08:39 CEST 2020: classerr --- nerr=23 ntot=785 error_rate=2.93% mié may 6 19:08:39 CEST 2020: 2018 --- undefined command 2018
coefs =  19 , Nfilters =  20 , Ngauss =  10 , percent =  mié may 6 19:10:52 CEST 2020: classerr --- nerr=18 ntot=785 error_rate=2.29% mié may 6 19:10:52 CEST 2020: 2019 --- undefined command 2019
coefs =  20 , Nfilters =  20 , Ngauss =  10 , percent =  mié may 6 19:13:15 CEST 2020: classerr --- nerr=24 ntot=785 error_rate=3.06% mié may 6 19:13:15 CEST 2020: 2020 --- undefined command 2020
coefs =  21 , Nfilters =  20 , Ngauss =  10 , percent =  mié may 6 19:15:49 CEST 2020: classerr --- nerr=31 ntot=785 error_rate=3.95% mié may 6 19:15:49 CEST 2020: 2021 --- undefined command 2021
coefs =  22 , Nfilters =  20 , Ngauss =  10 , percent =  mié may 6 19:18:40 CEST 2020: classerr --- nerr=66 ntot=785 error_rate=8.41% mié may 6 19:18:40 CEST 2020: 2022 --- undefined command 2022
coefs =  23 , Nfilters =  20 , Ngauss =  10 , percent =  mié may 6 19:21:47 CEST 2020: classerr --- nerr=142 ntot=785 error_rate=18.09% mié may 6 19:21:47 CEST 2020: 2023 --- undefined command 2023
coefs =  24 , Nfilters =  20 , Ngauss =  10 , percent =  mié may 6 19:28:09 CEST 2020: classerr --- nerr=200 ntot=785 error_rate=25.48% mié may 6 19:28:09 CEST 2020: 2024 --- undefined command 2024
coefs =  25 , Nfilters =  20 , Ngauss =  10 , percent =  mié may 6 19:31:40 CEST 2020: classerr --- nerr=268 ntot=785 error_rate=34.14% mié may 6 19:31:40 CEST 2020: 2025 --- undefined command 2025
coefs =  14 , Nfilters =  20 , Ngauss =  11 , percent =  mié may 6 19:33:37 CEST 2020: classerr --- nerr=20 ntot=785 error_rate=2.55% mié may 6 19:33:37 CEST 2020: 2014 --- undefined command 2014
coefs =  15 , Nfilters =  20 , Ngauss =  11 , percent =  mié may 6 19:35:38 CEST 2020: classerr --- nerr=18 ntot=785 error_rate=2.29% mié may 6 19:35:38 CEST 2020: 2015 --- undefined command 2015
coefs =  16 , Nfilters =  20 , Ngauss =  11 , percent =  mié may 6 19:37:48 CEST 2020: classerr --- nerr=16 ntot=785 error_rate=2.04% mié may 6 19:37:48 CEST 2020: 2016 --- undefined command 2016
coefs =  17 , Nfilters =  20 , Ngauss =  11 , percent =  mié may 6 19:40:05 CEST 2020: classerr --- nerr=15 ntot=785 error_rate=1.91% mié may 6 19:40:05 CEST 2020: 2017 --- undefined command 2017
coefs =  18 , Nfilters =  20 , Ngauss =  11 , percent =  mié may 6 19:42:25 CEST 2020: classerr --- nerr=22 ntot=785 error_rate=2.80% mié may 6 19:42:25 CEST 2020: 2018 --- undefined command 2018
coefs =  19 , Nfilters =  20 , Ngauss =  11 , percent =  mié may 6 19:44:53 CEST 2020: classerr --- nerr=16 ntot=785 error_rate=2.04% mié may 6 19:44:53 CEST 2020: 2019 --- undefined command 2019
coefs =  20 , Nfilters =  20 , Ngauss =  11 , percent =  mié may 6 19:47:32 CEST 2020: classerr --- nerr=20 ntot=785 error_rate=2.55% mié may 6 19:47:32 CEST 2020: 2020 --- undefined command 2020
coefs =  21 , Nfilters =  20 , Ngauss =  11 , percent =  mié may 6 19:50:21 CEST 2020: classerr --- nerr=29 ntot=785 error_rate=3.69% mié may 6 19:50:21 CEST 2020: 2021 --- undefined command 2021
coefs =  22 , Nfilters =  20 , Ngauss =  11 , percent =  mié may 6 19:53:29 CEST 2020: classerr --- nerr=54 ntot=785 error_rate=6.88% mié may 6 19:53:29 CEST 2020: 2022 --- undefined command 2022
coefs =  23 , Nfilters =  20 , Ngauss =  11 , percent =  mié may 6 19:57:01 CEST 2020: classerr --- nerr=131 ntot=785 error_rate=16.69% mié may 6 19:57:01 CEST 2020: 2023 --- undefined command 2023
coefs =  24 , Nfilters =  20 , Ngauss =  11 , percent =  mié may 6 20:00:50 CEST 2020: classerr --- nerr=199 ntot=785 error_rate=25.35% mié may 6 20:00:50 CEST 2020: 2024 --- undefined command 2024
coefs =  25 , Nfilters =  20 , Ngauss =  11 , percent =  mié may 6 20:04:51 CEST 2020: classerr --- nerr=232 ntot=785 error_rate=29.55% mié may 6 20:04:51 CEST 2020: 2025 --- undefined command 2025
coefs =  14 , Nfilters =  20 , Ngauss =  12 , percent =  mié may 6 20:07:01 CEST 2020: classerr --- nerr=16 ntot=785 error_rate=2.04% mié may 6 20:07:01 CEST 2020: 2014 --- undefined command 2014
coefs =  15 , Nfilters =  20 , Ngauss =  12 , percent =  mié may 6 20:09:23 CEST 2020: classerr --- nerr=19 ntot=785 error_rate=2.42% mié may 6 20:09:23 CEST 2020: 2015 --- undefined command 2015
coefs =  16 , Nfilters =  20 , Ngauss =  12 , percent =  mié may 6 20:11:48 CEST 2020: classerr --- nerr=13 ntot=785 error_rate=1.66% mié may 6 20:11:48 CEST 2020: 2016 --- undefined command 2016
coefs =  17 , Nfilters =  20 , Ngauss =  12 , percent =  mié may 6 20:14:21 CEST 2020: classerr --- nerr=17 ntot=785 error_rate=2.17% mié may 6 20:14:21 CEST 2020: 2017 --- undefined command 2017
coefs =  18 , Nfilters =  20 , Ngauss =  12 , percent =  mié may 6 20:17:00 CEST 2020: classerr --- nerr=19 ntot=785 error_rate=2.42% mié may 6 20:17:00 CEST 2020: 2018 --- undefined command 2018
coefs =  19 , Nfilters =  20 , Ngauss =  12 , percent =  mié may 6 20:19:43 CEST 2020: classerr --- nerr=14 ntot=785 error_rate=1.78% mié may 6 20:19:43 CEST 2020: 2019 --- undefined command 2019
coefs =  20 , Nfilters =  20 , Ngauss =  12 , percent =  mié may 6 20:22:34 CEST 2020: classerr --- nerr=22 ntot=785 error_rate=2.80% mié may 6 20:22:34 CEST 2020: 2020 --- undefined command 2020
coefs =  21 , Nfilters =  20 , Ngauss =  12 , percent =  mié may 6 20:25:43 CEST 2020: classerr --- nerr=36 ntot=785 error_rate=4.59% mié may 6 20:25:43 CEST 2020: 2021 --- undefined command 2021
coefs =  22 , Nfilters =  20 , Ngauss =  12 , percent =  mié may 6 20:29:12 CEST 2020: classerr --- nerr=48 ntot=785 error_rate=6.11% mié may 6 20:29:12 CEST 2020: 2022 --- undefined command 2022
coefs =  23 , Nfilters =  20 , Ngauss =  12 , percent =  mié may 6 20:33:00 CEST 2020: classerr --- nerr=127 ntot=785 error_rate=16.18% mié may 6 20:33:00 CEST 2020: 2023 --- undefined command 2023
